listing_url,name,host_id,host_name,neighbourhood,latitude,longitude,property_type,room_type,accommodates,price,minimum_nights,number_of_reviews,license,host_lcount
https://www.airbnb.com/rooms/8550478,"Best Location, Next to Royal Palace & Sol. Netflix",4710774,María,Centro,40.41673,-3.70969,Entire rental unit,Entire home/apt,5,188,3,285,True,6
https://www.airbnb.com/rooms/8563507,Remodeled flat in PLAZA DE CHUECA,45069177,Luca,Centro,40.42253,-3.69639,Entire rental unit,Entire home/apt,3,95,3,37,False,1
https://www.airbnb.com/rooms/8936390,Private double room in quiet residential area,37415721,Alv,Salamanca,40.43965,-3.66629,Private room in condo,Private room,2,33,1,20,False,1
https://www.airbnb.com/rooms/8569433,Spacious attic in Malasaña,5950981,Raúl,Centro,40.42366,-3.70102,Entire rental unit,Entire home/apt,5,85,28,113,True,7
https://www.airbnb.com/rooms/8569806,CHICAS PRA COMPARTIR PISO EL   MADR,45102439,(Email hidden by Airbnb),Carabanchel,40.38387,-3.73111,Private room in rental unit,Private room,1,325,1,0,False,1
https://www.airbnb.com/rooms/8937444,Apartamento moderno,46725622,Ghadeer,Arganzuela,40.39206,-3.67961,Entire rental unit,Entire home/apt,2,70,1,0,False,1
https://www.airbnb.com/rooms/8574490,City Center + breakfast + 24h direct airport bus,20111903,Sergio,Retiro,40.42046,-3.67426,Private room in rental unit,Private room,2,53,2,101,False,1
https://www.airbnb.com/rooms/8579373,"Santa Ana Classy IV, 6 peop.,75 sq.m, 2 BR, 2 BTHR",4190343,Ramon,Centro,40.41489,-3.70142,Entire rental unit,Entire home/apt,6,137,4,304,False,23
https://www.airbnb.com/rooms/8938086,Precioso apartamento exterior 2habs junto a Atocha,351833151,Sharing,Arganzuela,40.40482,-3.69396,Entire rental unit,Entire home/apt,4,114,4,13,False,9
https://www.airbnb.com/rooms/8592552,Apartment with views,14920069,Elena,Centro,40.40879,-3.71539,Entire rental unit,Entire home/apt,4,60,1,2,False,1
https://www.airbnb.com/rooms/8607519,2 personas a un minuto del Prado,41633971,Cesar,Centro,40.41071,-3.69525,Private room in home,Private room,2,47,2,182,False,3
https://www.airbnb.com/rooms/8957802,Ático / Attic Dúplex Santa Ana,7702501,Miguel,Centro,40.41639,-3.70079,Entire rental unit,Entire home/apt,3,200,1,0,False,1
https://www.airbnb.com/rooms/8627059,The ♥ of Madrid: Plaza Mayor seconds away!,1899974,Helen & Martín,Centro,40.41503,-3.70816,Entire condo,Entire home/apt,4,140,4,204,False,1
https://www.airbnb.com/rooms/8963605,loft cerca de atocha,46845753,,Puente de Vallecas,40.39525,-3.66877,Entire loft,Entire home/apt,2,40,1,0,False,1
https://www.airbnb.com/rooms/8627585,"Habitación individual ,luminosa en Madrid",45059320,Isidoro,Moncloa - Aravaca,40.46926,-3.71994,Private room in rental unit,Private room,1,25,1,49,False,1
https://www.airbnb.com/rooms/8629197,Live Chueca from our studio with a lot of style,8276432,Rutilio Adolfo,Centro,40.42281,-3.69647,Entire rental unit,Entire home/apt,2,69,2,325,True,22
https://www.airbnb.com/rooms/8975384,Luxury 4 Bedrooms in Golden Mile,46902285,Patricia,Salamanca,40.42814,-3.68562,Entire rental unit,Entire home/apt,8,266,4,190,False,1
https://www.airbnb.com/rooms/8634850,Historic Center. Views!  Attic Apt,8540658,Sandra,Centro,40.41518,-3.71204,Entire condo,Entire home/apt,2,105,3,87,False,1
https://www.airbnb.com/rooms/8652516,Single room Malasaña,290725310,Fran,Centro,40.4242,-3.70175,Private room in rental unit,Private room,1,66,6,75,False,2
https://www.airbnb.com/rooms/8979120,Cozy Double Room in city center of Madrid,46910088,Alejandra,Centro,40.41288,-3.70553,Private room in rental unit,Private room,2,44,2,26,False,1
https://www.airbnb.com/rooms/8657858,Cosy central apartment in Madrid heart,1232533,Manuel,Centro,40.4249,-3.70741,Entire loft,Entire home/apt,3,120,5,111,False,1
https://www.airbnb.com/rooms/8984546,Apartment with courtyard C.Peñalver II,32046323,Ivory,Salamanca,40.43001,-3.6744,Entire rental unit,Entire home/apt,2,55,30,0,False,80
https://www.airbnb.com/rooms/8663494,Luxury aptm in Claudio Coello,26340878,Ana Belén,Salamanca,40.4277,-3.68553,Entire rental unit,Entire home/apt,4,284,2,122,False,1
